id,region,event,city,county,name,property,people,description,background,process,follow,vertify,anecdote,latitude,longitude,ls_id,period_order
34,甘肃,汉羌战争,,,汉羌战争,民族军事冲突,段颎、皇甫规、张奂,东汉与羌族在凉州（今甘肃、青海东部）的长期战争，持续百余年。,羌人不满汉朝压迫，多次起兵反抗；东汉为维护西北边疆稳定多次镇压。,从汉安帝永初元年（107年）至灵帝建宁二年（169年），爆发三次大规模战争，段颎在逢义山（今宁夏固原）、射虎谷（今甘肃天水）等战役中屠杀羌人。,耗费军费巨大，加速东汉财政崩溃；羌人势力削弱后鲜卑崛起。,《后汉书·西羌传》详载战事，但具体战役地点存在古今地名对应争议。,皇甫规曾上疏揭露边将「虚增首级」冒领战功，反映军政腐败。,38.508199,100.428219,34,2
35,甘肃,凉州之乱,,,凉州之乱,边疆叛乱,北宫伯玉、边章、韩遂,184null189年凉州羌胡与汉人边军联合反叛，震动西北。,黄巾起义期间，凉州驻军因欠饷哗变，联合羌人起事。,叛军攻占金城（今甘肃兰州），杀刺史耿鄙，围困陈仓（今陕西宝鸡）。,董卓借平叛壮大势力，为日后乱政埋下伏笔。,《后汉书·灵帝纪》载「北地先零羌及枹罕河关群盗反」，具体参与民族成分存疑。,韩遂原为汉朝名士，被叛军劫持后被迫加入，后成割据军阀。,38.508199,100.428219,35,2
36,陕西,潼关之战,渭南市,,潼关之战,割据势力战役,曹操、马超,211年曹操与关中联军在潼关（今陕西渭南潼关县）决战。,马超、韩遂等关西军阀恐被曹操吞并，联合抗曹。,曹操佯攻潼关吸引主力，暗遣徐晃从蒲坂津（今山西永济）渡黄河，最终在渭南决战中分化联军。,关中军阀瓦解，曹操控制雍凉；马超投奔张鲁。,《三国志·武帝纪》与《马超传》记载有细节差异，尤其离间计实施过程。,曹操「割须弃袍」逃生情节出自《三国演义》，正史无载。,34.505904,109.504702,36,2
37,陕西,汉中之战,汉中市,,汉中之战,割据政权争夺战,刘备、曹操,217null219年刘备攻取汉中（今陕西汉中），自称汉中王。,刘备夺取益州后，为巩固北方门户发动战役。,法正献计夺取定军山（今陕西勉县），黄忠斩夏侯渊；曹操亲征未能扭转战局。,刘备奠定三国鼎立基础，曹操感叹「鸡肋」后撤军。,《三国志》记载战役持续两年，但具体战术细节各传矛盾。,赵云「空营计」吓退曹军发生在汉水之战，属此战役组成部分。,32.831217,106.252283,37,2
38,陕西,文和乱武,西安市,,文和乱武,政治动乱,贾诩、李傕、郭汜,192年贾诩献策李傕反攻长安，导致关中大乱。,王允诛杀董卓后拒绝赦免其旧部，引发西凉军恐慌。,李傕等原欲解散逃亡，贾诩建议「奉国家以正天下」，遂聚众攻破长安。,汉献帝遭挟持，关中「白骨委积，臭秽满路」。,《后汉书·董卓传》与《三国志·贾诩传》对贾诩动机记载不同，或为自保之策。,贾诩因此计被骂「乱武」，但其晚年成为曹魏重臣得以善终。,34.113209,108.617168,38,2
39,陕西,董卓专权,西安市,,董卓专权,政治专权与迁都,董卓、汉献帝,董卓挟持汉献帝迁都长安（今陕西西安），把持朝政。,189年董卓入洛阳废少帝，引发关东诸侯讨伐，为避兵锋西迁。,190年焚毁洛阳，强迁百官民众至长安，筑郿坞（今陕西眉县）积粮。,导致关中凋敝，192年董卓被吕布刺杀，部将李傕郭汜继续祸乱关中。,《后汉书·董卓传》载「尽徙洛阳人数百万口于长安」，人口数字或有夸张。,童谣「千里草，何青青」预言董卓之死（「千里草」为「董」字拆解）。,34.113209,108.617168,39,2
41,四川,魏灭蜀之战,成都市,,魏灭蜀之战,灭国战争,司马昭、邓艾、钟会、刘禅,曹魏发动灭蜀战役，终结蜀汉政权,景元四年（263年），司马昭为转移内部矛盾，决策伐蜀,钟会率主力攻汉中，邓艾偷渡阴平（今甘肃文县），破诸葛瞻于绵竹（今四川德阳），兵临成都,刘禅出降，蜀汉灭亡；钟会谋叛被杀，引发成都三日大乱,《三国志》与出土《邓艾传碑》（甘肃武都）互证，但阴平道具体路线仍有争议,邓艾行军时“以毡自裹，推转而下”的悬崖记载，可能夸大其险峻程度,30.568437,104.529473,41,2
42,甘肃,秃发树机能扰凉州（鲜卑）,,,秃发树机能扰凉州（鲜卑）,少数民族叛乱,秃发树机能、晋将胡烈,鲜卑首领秃发树机能在凉州（今甘肃武威一带）起兵反晋，持续九年，多次击败晋军。,西晋对西北鲜卑部落实行高压政策，引发不满。,270年，秃发树机能击杀秦州刺史胡烈；279年晋将马隆以精兵镇压，最终击杀秃发树机能。,叛乱虽平，但消耗西晋国力，加速西北边疆动荡。,《晋书·武帝纪》载其起事时间存争议，一说始于270年，一说269年。,马隆采用「磁石阵」战术大破鲜卑军，为古代特殊战例。,38.508199,100.428219,42,2
44,四川,李雄称帝,成都市,,李雄称帝,割据政权建立,李雄、李特,流民首领李雄在成都称帝，建立成汉政权。,巴氐流民因饥荒入蜀，遭益州刺史镇压引发起义。,303年李特在绵竹（今四川德阳）起兵，其子李雄于304年攻占成都称王，306年正式称帝。,成汉为十六国首个政权，控制四川近四十年。,《华阳国志》载李雄称帝时间有304年与306年两说。,李雄以「约法三章」简政安民，蜀中一度「事少役稀，百姓富实」。,30.568437,104.529473,44,2
45,陕西,郝散起兵（匈奴）,,,郝散起兵（匈奴）,少数民族叛乱,郝散,匈奴人郝散在关中地区起兵反晋。,西晋对匈奴等内迁部落实行歧视政策。,294年郝散攻杀官吏，后诈降被杀，其弟郝度元联合羌胡再叛。,引发齐万年起义，成为西北动乱导火索。,《晋书·惠帝纪》未载郝散结局细节，或为史料缺失。,郝散诈降被诛事件，反映晋廷对少数民族的失信政策。,34.336074,108.710914,45,2
46,四川,流民起义,德阳市,,流民起义,民变与军事割据,李特、罗尚,巴氐流民在益州（今四川）发动大规模起义。,关中饥荒导致流民入蜀，益州刺史罗尚强令返乡引发冲突。,301年李特在绵竹（今德阳绵竹市）结盟流民，击败晋军；后其子李雄建立成汉。,起义促成成汉政权独立，中原士族开始「衣冠南渡」。,绵竹战场位置存在今绵竹与德阳广汉两地之争。,李特以「六郡流民共推为主」凝聚力量，为罕见流民自组织成功案例。,30.744153,105.028411,46,2
47,四川,东晋平蜀,成都市,,东晋平蜀,军事征服,桓温、李势,347年桓温率军西进攻灭成汉政权，收复益州（今四川）。,成汉政权内乱，东晋欲恢复对西南控制。,桓温从江陵（今湖北荆州）溯江西进，在犍为（今四川彭山）击败成汉主力，迫降李势于成都。,益州重归东晋版图，桓温声望大增，奠定权臣地位。,《晋书·桓温传》载「停蜀三旬，举贤旌善」，但实际控制时间较短。,桓温入成都见诸葛亮旧宅，叹「未能克复中原，至此愧对武侯」,30.568437,104.529473,47,2
48,陕西,桓温北伐（第三次）,西安市,,桓温北伐（第三次）,北伐战役,桓温、苻健,354年桓温北伐前秦，短暂进入关中逼近长安。,借后赵崩溃之机，试图收复中原。,晋军经武关（今陕西商洛）抵灞上（今西安东），因粮尽退兵，关中民众「持牛酒迎温」者甚众。,未能稳固占领，关中仍属前秦；北伐成果有限。,《资治通鉴》载「三辅郡县皆来降」，但实际控制范围存疑。,王猛扪虱谈天下典故出自此次北伐期间与桓温会面。,34.113209,108.617168,48,2
49,陕西,刘裕北伐（灭后秦）,西安市,,刘裕北伐（灭后秦）,北伐战役,刘裕、姚泓,417年刘裕攻灭后秦，收复长安。,后秦内乱，刘裕为积累篡位资本发动北伐。,分兵两路：王镇恶率水军溯黄河入渭水直抵长安；沈田子在青泥（今陕西蓝田）大破秦军。,刘裕留幼子刘义真镇守，次年因内乱撤离，关中复失。,长安实际控制仅一年余，《宋书》称「遗民南望涕流」。,刘裕将后秦浑天仪等文物南迁，现存南京紫金山天文台仿制品。,34.113209,108.617168,49,2
50,甘肃,莫高窟,酒泉市,,莫高窟,佛教石窟开凿,乐僔和尚,366年乐僔始凿莫高窟，但敦煌此时属前凉政权，非东晋辖区。,佛教沿丝绸之路传播，僧侣择地修行。,前秦建元二年（366年）乐僔开凿第一窟，后续持续营建至元代。,成为佛教艺术宝库，现存洞窟735个。,《李君莫高窟佛龛碑》载开凿时间，但敦煌在东晋时期始终为北方政权控制。,乐僔「忽见金光，状有千佛」而开窟的传说载于敦煌文书P.3720。,40.179894,94.76792,50,2
51,陕西,苻健称王（前秦建立）,西安市,,苻健称王（前秦建立）,政权建立,苻健,351年氐族苻健在长安（今陕西西安）称天王，建立前秦。,后赵崩溃后，氐族势力崛起控制关中。,苻健击败杜洪、张琚等割据势力，定都长安，次年称帝。,前秦统一北方，淝水之战后崩溃。,《晋书·苻健载记》明确建都长安，但称王与称帝时间有三月之差记载。,苻健入关中时「民争持牛酒迎劳」，反映后赵暴政后民心所向。,34.113209,108.617168,51,2
52,甘肃,张祚称王（前凉政变）,武威市,,张祚称王（前凉政变）,宫廷政变,张祚,354年张祚废前凉王张曜灵自立，改称凉王。,前凉宗室内斗加剧，张祚勾结太后发动政变。,张祚先称凉公，数月后称凉王，定都姑臧（今甘肃武威）。,引发宋混起义，355年被杀，前凉恢复称藩东晋。,《魏书·张寔传》载其「僭称凉王」，但前凉长期名义尊晋。,张祚为十六国唯一被史书明确记载有男宠后宫（「龙阳君」）的君主。,37.635753,102.814829,52,2
53,甘肃,莫高窟开凿,酒泉市,,莫高窟开凿,佛教艺术工程,乐僔和尚,366年乐僔在敦煌鸣沙山开凿首个洞窟，莫高窟始建。,佛教沿丝路传播，敦煌成宗教文化枢纽。,前秦建元二年（366年）始凿，北凉时期大规模扩建。,持续营建千年，现存735个洞窟，4.5万平米壁画。,敦煌文书P.3720记载开凿时间，但此时敦煌属前凉而非前秦。,乐僔「忽见金光，状有千佛」的灵异记载见于敦煌碑刻。,40.179894,94.76792,53,2
54,甘肃,吕光西征,,,吕光西征,军事远征,吕光,382年前秦苻坚遣吕光率军西征西域，返程建立后凉。,前秦统一北方后试图控制西域商路。,吕光从长安出发，经河西走廊征服焉耆、龟兹，获高僧鸠摩罗什。,淝水之战后滞留凉州，386年建立后凉政权。,《晋书·吕光载记》载「士卒咸思东归」，返程路线存甘肃段争议。,吕光强娶龟兹王女，引发西域诸国不满。,38.508199,100.428219,54,2
55,陕西,姚苌举兵（后秦建立）,西安市,,姚苌举兵（后秦建立）,政权建立,姚苌,384年羌族姚苌在渭北牧马原（今陕西富平）称王，建立后秦。,前秦淝水战败后，关中各族反叛。,姚苌擒杀苻坚，385年攻入长安称帝。,与苻登在陇东（今甘肃东部）长期拉锯，394年灭前秦残余。,《十六国春秋》载称王地在北地郡，今陕西富平与甘肃庆阳交界处存争议。,姚苌因缢杀苻坚，被苻登军咒骂为「弑君老羌」。,34.113209,108.617168,55,2
56,甘肃,后凉三分,,,后凉三分,政权分裂,吕隆、沮渠蒙逊、李暠,403年后凉分裂为北凉、南凉、西凉，核心区在河西走廊。,后凉暴政引发各族反抗，匈奴与汉族势力割据。,397年秃发乌孤建南凉（青海乐都），400年李暠建西凉（甘肃敦煌），401年沮渠蒙逊建北凉（甘肃张掖）。,北凉最终统一河西，439年被北魏所灭。,分裂时间线各史书记载交错，需比对《晋书》与《十六国春秋》补遗。,李暠为唐朝皇室追认先祖，敦煌遗书存其《诫子书》。,38.508199,100.428219,56,2
57,陕西,赫连勃勃称王（大夏建立）,榆林市,,赫连勃勃称王（大夏建立）,政权建立,赫连勃勃,407年匈奴赫连勃勃在统万城（今陕西靖边）称天王，建大夏。,后秦衰弱，赫连勃勃脱离自立。,413年始建统万城，「蒸土筑城，锥入一寸即杀工匠」，417年趁刘裕撤兵夺取长安。,425年赫连勃勃死，431年被北魏所灭。,统万城遗址现存「白城子」，考古发现城墙硬度确如史载。,赫连勃勃自诩「云赫连天」，取「显赫与天连接」之意。,38.016681,110.483356,57,2
