id,region,event,author,dynasty,keyword,poemtype,poemid,authorid,province,city,county
34,,公安送李二十九弟晋肃入蜀余下沔鄂,杜甫,唐,蜀道,律诗,30595,17270,,,
36,,送梓州李使君之任,杜甫,唐,蜀道,排律,31346,17270,,,
37,,奉汉中王手札,杜甫,唐,蜀道,排律,31316,17270,,,
6665,四川,单公新堤记,赵协,北宋,,文,1180669,86613,四川,绵阳市,梓潼县
39,,早上五盘岭,岑参,唐,蜀道,古风,22591,14000,,,
40,,送庞判官赴黔中,司空曙,唐,蜀道,律诗,12238,13632,,,
41,,送成都成少尹赴蜀序,独孤及,唐,蜀道,文,1367693,18488,,,
42,,剑南节度判官崔君墓志铭,常衮,唐,蜀道,文,1368472,15235,,,
43,,送长史李少府入蜀,韩翃,唐,蜀道,律诗,48860,21491,,,
44,,秋中野望寄舍弟绶兼令呈上西川尚书舅,卢纶,中唐,蜀道,古风,11401,13496,,,
45,,送崔明府赴青城,耿湋,唐,蜀道,律诗,43803,19235,,,
46,,奉和武相公春晓闻莺,李益,中唐,蜀道,绝句,28266,15274,,,
47,,上襄阳楚大夫书,苻载,中唐,蜀道,文,1373524,19128,,,
48,,南湖晚秋,白居易,唐,蜀道,古风,14798,18804,,,
78,,叶秘书温知蜀州江原县,杨亿,北宋,蜀道,律诗,129054,27871,,,
80,,句,庞籍,北宋,蜀道,句,167753,24886,,,
81,,送何涉秀才,范仲淹,北宋,蜀道,绝句,171752,29783,,,
35,四川,黄草,杜甫,唐,蜀道,律诗,31772,17270,四川,广元市,剑阁县
6666,四川,赐新除知枢密院安寿辞免恩命不许断来章批答,苏轼,北宋,,文,1186679,29937,四川,绵阳市,梓潼县
6667,四川,资州东崖题名,傅耆,宋,,文,1185635,22583,四川,绵阳市,梓潼县
6668,四川,送周正孺自考功郎中归守梓潼兼简吕元钧三绝,苏辙,北宋,,绝句,139337,29941,四川,绵阳市,梓潼县
50,,送南涪州量移澧州序,柳宗元,中唐,蜀道,文,1371046,17578,,,
51,,南岳弥陀和尚碑,柳宗元,中唐,蜀道,文,1371208,17578,,,
52,,蜀道易,陆畅,唐,蜀道,句,34618,21001,,,
53,,送李馀及第归蜀,姚合,唐,蜀道,古风,40191,14610,,,
54,,闻范秀才自蜀游江湖,许浑,唐,蜀道,律诗,20228,19980,,,
55,,龙夜吟,李贺,中唐,蜀道,古风,27786,17089,,,
56,,读韩文公集十韵,张祜,唐,蜀道,排律,825939,15618,,,
57,,琵琶行,牛殳,中唐,蜀道,古风,7675,18143,,,
58,,过华清宫二十二韵,温庭筠,唐,蜀道,排律,48483,18032,,,
59,,蜀中战后感事,雍陶,中唐,蜀道,排律,50238,21195,,,
60,,送程秀才下第归蜀,姚鹄,唐,蜀道,律诗,40273,14144,,,
61,,谩天岭,罗隐,唐末,蜀道,绝句,37805,19207,,,
62,,焦崖阁,韦庄,唐末至五代,蜀道,绝句,9688,21282,,,
63,,送皇甫校书自蜀下峡归觐襄阳,李洞,唐末,蜀道,律诗,27600,16828,,,
64,,闻杜鹃,李洞,唐末,蜀道,律诗,27603,16828,,,
65,,蜀驮引,冯涓,唐末至前蜀,蜀道,绝句,10852,13001,,,
82,,送蔡挺代父之蜀,范仲淹,北宋,蜀道,古风,171969,29783,,,
83,,成都书事百韵,薛田,宋,蜀道,排律,250564,31961,,,
5207,甘肃,上安枢密书,华镇,北宋,,文,1205928,24950,甘肃,陇南市,
66,,册赠刘崇望司空文,钱珝,唐,蜀道,文,1376796,20816,,,
67,,送人入蜀,齐己,唐末至五代,蜀道,律诗,21411,21698,,,
68,,白衣入翰林赋,徐寅,唐末至五代,蜀道,辞赋,1376699,15789,,,
69,,采桑子,花蕊夫人,前蜀,蜀道,词,43720,19321,,,
70,,蜀中送人游庐山,释楚峦,后蜀,蜀道,古风,47297,16121,,,
71,,陈州谢恩表,田锡,北宋,蜀道,文,1147336,29680,,,
72,,雨赋,吴淑,北宋,蜀道,辞赋,1147781,23772,,,
73,,酬杨遂,王禹偁,北宋,蜀道,古风,75164,29711,,,
75,,柳,丁谓,北宋,蜀道,律诗,55490,21993,,,
76,,江,丁谓,北宋,蜀道,律诗,55470,21993,,,
77,,大理赵寺丞世长知益州华阳县,杨亿,北宋,蜀道,律诗,129018,27871,,,
84,,过李白坟,胡宿,北宋,蜀道,律诗,494483,29802,,,
85,,长卿,胡宿,北宋,蜀道,律诗,182311,29802,,,
86,,蜀地海棠繁媚有思加腻干丰条苒弱可爱北方所未见诸公作诗流播西人余素好玩不能自默然所道皆在前人陈迹中如国风申章亦无愧云,宋祁,北宋,蜀道,排律,105701,24788,,,
87,,送张端公转运两浙序,宋祁,北宋,蜀道,文,1157959,24788,,,
88,,赣石,余靖,北宋,蜀道,律诗,99545,22408,,,
89,,哭王几道职方三首,梅尧臣,北宋,蜀道,律诗,208555,28460,,,
90,,送阆州驻泊荆供奉,梅尧臣,北宋,蜀道,律诗,208494,28460,,,
6669,四川,送周正孺自考功郎中归守梓潼兼简吕元钧三绝,苏辙,北宋,,绝句,508426,29941,四川,绵阳市,梓潼县
92,,送杨浩秘丞入蜀,梅尧臣,北宋,蜀道,古风,209965,28460,,,
93,,送吴季野,梅尧臣,北宋,蜀道,古风,209915,28460,,,
94,,雷太简遗蜀鞭,梅尧臣,北宋,蜀道,古风,210441,28460,,,
6670,四川,送周正孺自考功郎中归守梓潼兼简吕元钧三绝,苏辙,北宋,,绝句,508427,29941,四川,绵阳市,梓潼县
96,,张斯立遂州司理,梅尧臣,北宋,蜀道,古风,209270,28460,,,
97,,行路难,梅尧臣,北宋,蜀道,乐府曲辞,209184,28460,,,
98,,赴任嘉州初登栈道寄题姜潜至之读易堂,石介,北宋,蜀道,律诗,83203,29818,,,
99,,入蜀至左绵路次水轩暂憩,石介,北宋,蜀道,律诗,83185,29818,,,
100,,送冯司理之任彭州,石介,北宋,蜀道,律诗,83262,29818,,,
101,,蜀道自勉,石介,北宋,蜀道,古风,83289,29818,,,
123,,路次覆盆驿,王周,北宋,蜀道,绝句,494229,29531,,,
124,,读长恨辞二首,李觏,北宋,蜀道,绝句,123793,27777,,,
3080,陕西,思治诗,无名氏,汉,,古风,487939,,陕西,西安市,长安区
6899,四川,批周宗书后,李建勋,五代,,绝句,26797,16627,四川,绵阳市,梓潼县
102,,闻子规,石介,北宋,蜀道,古风,83267,29818,,,
103,,宋颂九首,石介,北宋,蜀道,四言诗,83314,29818,,,
104,,上徐州张刑部书,石介,北宋,蜀道,文,1159698,29818,,,
105,,送左殿丞入蜀,欧阳修,北宋,蜀道,律诗,170206,28466,,,
106,,送石扬休还蜀,欧阳修,北宋,蜀道,律诗,170209,28466,,,
107,,太白戏圣俞,欧阳修,北宋,蜀道,古风,170410,28466,,,
108,,过长安至岐山作,张方平,北宋,蜀道,绝句,495522,25657,,,
109,,兴州长举县西二十里阁道立表曰飞石阁告往来者急度勿停予赴益部兴州将吏来迎皆至长举因访老吏飞石之状云昔尝有之亦飘风暴雨之时也予望山顶皆已垦耕而行人熟虚名至是皆驰过因成一绝,张方平,北宋,蜀道,绝句,495526,25657,,,
110,,杜鹃,张方平,北宋,蜀道,绝句,495533,25657,,,
111,,书李翰林集后,释契嵩,北宋,蜀道,文,1162953,33631,,,
112,,送家静及第后赴官清水,苏舜钦,北宋,蜀道,律诗,495736,29828,,,
113,,奉和冯允南二首,范镇,北宋,蜀道,律诗,497330,29829,,,
114,,送崔度推官任满还长安,赵抃,北宋,蜀道,律诗,496774,29834,,,
6900,四川,旅怀,杜荀鹤,唐末,,绝句,32419,17287,四川,绵阳市,梓潼县
116,,送前人还都,赵抃,北宋,蜀道,律诗,496827,29834,,,
117,,再有蜀命别王居卿,赵抃,北宋,蜀道,律诗,496861,29834,,,
118,,入蜀先寄青城张遨先生,赵抃,北宋,蜀道,律诗,496862,29834,,,
119,,过青泥岭,赵抃,北宋,蜀道,绝句,497024,29834,,,
120,,乙巳岁渡关,赵抃,北宋,蜀道,绝句,497076,29834,,,
121,,张唐卿状元通判陜府,韩琦,北宋,蜀道,律诗,495913,34411,,,
122,,韩鉴除祥符县主簿制,韩琦,北宋,蜀道,文,1163676,34411,,,
3081,陕西,计说鲍永,冯衍,东汉,,文,1340797,2779,陕西,西安市,长安区
125,,送安思正之蜀,蔡襄,北宋,蜀道,古风,249385,29849,,,
126,,枢密直学士给事中程戡可依前给事中充端明殿学士知益州制,蔡襄,北宋,蜀道,文,1167510,29849,,,
127,,楼上旅怀,陈襄,北宋,蜀道,律诗,163594,34427,,,
128,,骊宫悼往,陈襄,北宋,蜀道,律诗,163581,34427,,,
129,,送同年张明远之兴州掾,黄庶,北宋,蜀道,古风,215557,34432,,,
130,,送朱屯田赴辟成都,苏颂,北宋,蜀道,律诗,137633,29870,,,
131,,送石舍人得告还蜀,苏颂,北宋,蜀道,律诗,137632,29870,,,
132,,邓圣求承旨叠贻佳句过有褒称无言不酬虽复牵强以多为贵固已数穷大雅旁通谅无诮斥,苏颂,北宋,蜀道,律诗,137388,29870,,,
133,,即席分韵送李才元学士守临邛,苏颂,北宋,蜀道,古风,137788,29870,,,
134,,皇城副使桑湜可西京左藏库使制,苏颂,北宋,蜀道,文,1174328,29870,,,
135,,梦张剑州,王安石,北宋,蜀道,律诗,70195,29874,,,
136,,金牛驿,吴师孟,北宋,蜀道,律诗,100772,23701,,,
137,,读李白文,钱公辅,北宋,蜀道,文,1177023,34232,,,
138,,依韵和酬阆州刘侍禁季孙见寄,强至,北宋,蜀道,律诗,217362,25873,,,
139,,马上口占呈记注李才元学士,强至,北宋,蜀道,律诗,217163,25873,,,
140,,题淮阴侯庙,郑獬,北宋,蜀道,律诗,176105,29879,,,
158,,郡牧吕龙图问候状,金君卿,宋,蜀道,文,1185479,34116,,,
3003,陕西,条疏古来能书人名启,王僧虔,南齐,,文,1353767,10239,陕西,西安市,长安区
141,,福源观大殿记,郑獬,北宋,蜀道,文,1178783,29879,,,
142,,送李太博知梓州郪县,刘攽,北宋,蜀道,律诗,500218,22908,,,
143,,送张遂州,刘攽,北宋,蜀道,律诗,500348,22908,,,
144,,朝散郎虞策可荆湖西路转运判官制,刘攽,北宋,蜀道,文,1179119,22908,,,
145,,大宋兴州新开白水路记,雷简夫,宋,蜀道,文,1160371,35101,,,
146,,送淳于温其,吕陶,北宋,蜀道,律诗,502835,23614,,,
147,,送道粹,吕陶,北宋,蜀道,律诗,502836,23614,,,
148,,送闻人夷庚太博,吕陶,北宋,蜀道,排律,502698,23614,,,
149,,即席送尧天,吕陶,北宋,蜀道,古风,502603,23614,,,
6671,四川,祭文与可学士文,苏辙,北宋,,文,1192360,29941,四川,绵阳市,梓潼县
151,,送蒋宪,徐积,北宋,蜀道,律诗,502154,26204,,,
152,,西山高寄崔刑部,徐积,北宋,蜀道,古风,501917,26204,,,
153,,漱玉泉,蒋之奇,北宋,蜀道,古风,503926,29910,,,
154,,过朝天岭,韦骧,北宋,蜀道,律诗,505905,34445,,,
155,,咏唐史 张中令,韦骧,北宋,蜀道,绝句,505263,34445,,,
156,,题尤溪县林平铺壁,韦骧,北宋,蜀道,绝句,506038,34445,,,
157,,晚洲岭,韦骧,北宋,蜀道,古风,505992,34445,,,
3109,陕西,七召,阙名,南北朝,,文,1356088,,陕西,西安市,长安区
159,,梅山歌,章惇,北宋,蜀道,古风,508035,29928,,,
160,,蜀道篇送别府尹吴龙图,郭祥正,北宋,蜀道,古风,506633,33454,,,
161,,怡轩吟赠番阳张孝子,郭祥正,北宋,蜀道,古风,507149,33454,,,
162,,次韵王定国倅扬州,苏轼,北宋,蜀道,律诗,135676,29937,,,
163,,和子由记园中草木十一首,苏轼,北宋,蜀道,古风,134377,29937,,,
164,,荐何宗元十议状,苏轼,北宋,蜀道,文,1186927,29937,,,
165,,与陆子厚,苏轼,北宋,蜀道,文,1188371,29937,,,
166,,送程给事知越州,王靖,北宋,蜀道,律诗,504754,29933,,,
167,,跋孙过庭蜀道寒云图,王诜,北宋,蜀道,文,1198354,29936,,,
168,,宋故汝南郡夫人王氏墓志铭,朱长文,北宋,蜀道,文,1191115,27322,,,
169,,舟次磁湖以风浪留二日不得进子瞻以诗见寄作二篇答之前篇自赋后篇次韵,苏辙,北宋,蜀道,律诗,508349,29941,,,
170,,送贾讷朝奉通判眉州,苏辙,北宋,蜀道,律诗,138605,29941,,,
171,,题王诜都尉设色山卷后,苏辙,北宋,蜀道,律诗,138745,29941,,,
172,,奉使契丹二十八首,苏辙,北宋,蜀道,绝句,138018,29941,,,
173,,次韵子瞻游径山,苏辙,北宋,蜀道,古风,138984,29941,,,
175,,论兰州等地状,苏辙,北宋,蜀道,文,1191788,29941,,,
176,,嘉祐寺留别丕上人,皮公弼,北宋,蜀道,绝句,83154,30536,,,
177,,陕州谢到任表,范祖禹,北宋,蜀道,文,1192919,29948,,,
178,,秦望山,袁默,宋,蜀道,古风,504925,32050,,,
179,,上徽宗论月晕围昴毕,任伯雨,北宋,蜀道,文,1198195,24938,,,
180,,论韩玠差除不当奏,刘安世,北宋,蜀道,文,1204114,24942,,,
181,,送方绚解元赴试南宫用桂林一枝荆山片玉为韵八首,刘弇,北宋,蜀道,古风,514190,24943,,,
182,,论种谊生擒鬼章赏未称功奏,常安民,北宋,蜀道,文,1204591,24947,,,
183,,神功盛德诗,华镇,北宋,蜀道,四言诗,110621,24950,,,
184,,送人赴雅州任,李复,北宋,蜀道,古风,120017,27338,,,
185,,和缙云守关彦远浮山作,晁补之,北宋,蜀道,古风,196398,27339,,,
186,,复答唐公并呈鲁直成季明略,晁补之,北宋,蜀道,古风,196428,27339,,,
235,,问讯次九日韵,晁冲之,北宋,蜀道,律诗,55096,26577,,,
463,,李起宗舍人悠然亭,楼钥,南宋,蜀道,律诗,245421,28622,,,
3124,陕西,舂陵登望,皎然,唐,,绝句,4136,18851,陕西,西安市,长安区
187,,代谢西川提点刑狱表,陈师道,北宋,蜀道,文,1206225,34457,,,
188,,送虔守楚大夫,杨时,宋,蜀道,排律,130424,27995,,,
189,,过钱塘江迎潮,杨时,宋,蜀道,古风,130400,27995,,,
190,,隆庆,陈鹏,北宋,蜀道,绝句,503291,35045,,,
191,,和朱牧宣德,冯山,北宋,蜀道,律诗,506361,22663,,,
192,,华清怀古,李周,宋,蜀道,绝句,118496,27074,,,
193,,范蜀公挽诗,李廌,北宋,蜀道,律诗,122827,27343,,,
194,,哀都官王申,李廌,北宋,蜀道,律诗,122838,27343,,,
195,,程高承议赴夔路转运判官求诗,李廌,北宋,蜀道,排律,122868,27343,,,
196,,题杨如晦二画 蜀道图,晁说之,宋,蜀道,绝句,197587,27342,,,
197,,谢邵三十五郎博诗卷,晁说之,宋,蜀道,古风,197559,27342,,,
198,,挽苏黄门子由,王巩,宋,蜀道,律诗,70882,29960,,,
199,,寄参寥,邹浩,北宋,蜀道,律诗,516639,33143,,,
200,,呈恩主户部郎中,李新,北宋,蜀道,律诗,123558,27344,,,
201,,寿王提举二首,李新,北宋,蜀道,律诗,123349,27344,,,
202,,燕走马少卿口号,李新,北宋,蜀道,律诗,123476,27344,,,
203,,送钱使者三首,李新,北宋,蜀道,律诗,123399,27344,,,
204,,皇帝即位贺表,李新,北宋,蜀道,文,1210279,27344,,,
205,,上王知府书,李新,北宋,蜀道,文,1210318,27344,,,
206,,上张运判书,李新,北宋,蜀道,文,1210343,27344,,,
207,,上孙运使书,李新,北宋,蜀道,文,1210345,27344,,,
208,,李转运判官远迎启,李新,北宋,蜀道,文,1210359,27344,,,
209,,贺秦州陆待制启,李新,北宋,蜀道,文,1210362,27344,,,
210,,上章相公贺冬启,李新,北宋,蜀道,文,1210365,27344,,,
211,,到任谢两府启,李新,北宋,蜀道,文,1210376,27344,,,
236,,贺杜察院启,翟汝文,宋,蜀道,文,1218047,31106,,,
681,,于眉州挽诗,魏了翁,南宋,蜀道,绝句,252779,35522,,,
212,,代人与程侍晨启,李新,北宋,蜀道,文,1210386,27344,,,
213,,谢席徽猷荐考察启,李新,北宋,蜀道,文,1210387,27344,,,
214,,贺郑太宰启,李新,北宋,蜀道,文,1210395,27344,,,
215,,贺李侍郎启,李新,北宋,蜀道,文,1210399,27344,,,
216,,代贺冯左丞启,李新,北宋,蜀道,文,1210403,27344,,,
217,,潼川府修城记,李新,北宋,蜀道,文,1210495,27344,,,
218,,遗爱堂记,李新,北宋,蜀道,文,1210498,27344,,,
219,,论不可轻弃兰州横山奏,孙路,宋,蜀道,文,1191148,24455,,,
220,,题紫溪驿壁文,叶祖洽,宋,蜀道,文,1195578,23430,,,
221,,贺张丞相启,晁咏之,宋,蜀道,文,1210784,26578,,,
222,,书简帖,薛绍彭,宋,蜀道,文,1208198,31966,,,
319,,答潼川运使何舍人,王十朋,南宋,蜀道,文,1250042,28586,,,
223,,代送席师序,杨天惠,宋,蜀道,文,1204069,27926,,,
224,,送别城西有感简元显,廖刚,宋,蜀道,古风,522411,24984,,,
225,,祭文叔文,廖刚,宋,蜀道,文,1212991,24984,,,
226,,别闽中许秀才,唐庚,北宋,蜀道,律诗,520421,24980,,,
227,,忆昔行,唐庚,北宋,蜀道,古风,520299,24980,,,
228,,谢及第启,唐庚,北宋,蜀道,文,1213117,24980,,,
229,,陈莹中自合浦迁郴州时余同粹中寓百丈粹中请迓之以病不果粹中独行作此送之,释德洪,北宋,蜀道,古风,520589,33754,,,
230,,画浪轩记,释惠洪,北宋,蜀道,文,1213426,33754,,,
231,,贺圣朝词帖跋,米友仁,宋,蜀道,文,1214694,30928,,,
232,,难江菖蒲涧题名,杜德机,北宋,蜀道,文,1209957,87261,,,
233,,贺宇文宝文知湖州启,葛胜仲,宋,蜀道,文,1214407,31324,,,
234,,张敏叔守梓州,许景衡,宋,蜀道,律诗,523066,31325,,,
1625,,过张桓侯故里,卢见曾,清,蜀道,绝句,861063,59075,,,
237,,贺赵礼侍启,翟汝文,宋,蜀道,文,1218048,31106,,,
238,,司马仲达论,何去非,宋,蜀道,文,1204622,24991,,,
239,,与胡邦衡书,李光,宋,蜀道,文,1221138,27356,,,
6672,四川,墨说遗张雅,黄庭坚,北宋,,文,1197717,34455,四川,绵阳市,梓潼县
241,,沈夫人挽诗二首,刘一止,宋,蜀道,律诗,529375,24997,,,
243,,过五岭,汪藻,宋,蜀道,律诗,528561,28543,,,
244,,故南宫舍人米公墓志,蔡肇,北宋,蜀道,文,1204052,31891,,,
245,,跋蜀道图后,黄伯思,北宋,蜀道,文,1222040,34473,,,
246,,攻讨晏州夷贼手诏,宋徽宗,北宋,蜀道,文,1227997,25009,,,
247,,艮岳记,宋徽宗,北宋,蜀道,文,1229079,25009,,,
248,,过石壁,周紫芝,北宋末,蜀道,古风,532017,25008,,,
249,,除吴玠特授检校少师奉宁保静军节度使依前川陕宣抚副使进封建安郡开国侯加食邑食实封制,綦崇礼,宋,蜀道,文,1229371,30943,,,
250,,赐川陕宣抚使司张浚诏,綦崇礼,宋,蜀道,文,1229399,30943,,,
275,,缴刘黻潼川府提刑奏,胡寅,宋,蜀道,文,1240146,31197,,,
251,,代王复谢成都利州路钤辖界首交割表,綦崇礼,宋,蜀道,文,1229624,30943,,,
252,,待罪奏状,綦崇礼,宋,蜀道,文,1229669,30943,,,
253,,杨夫人挽章二首,李纲,宋,蜀道,律诗,535411,27793,,,
254,,题伯时明皇蜀道图,李纲,宋,蜀道,古风,534527,27793,,,
255,,次韵顾子美见示题曲江画像,李纲,宋,蜀道,古风,534533,27793,,,
256,,宋故文安郡开国侯王徽学墓志铭,朱承,南宋,蜀道,文,1240486,88302,,,
257,,贺张知院除右仆射启,张守,宋,蜀道,文,1232079,25545,,,
258,,严君平,吕本中,宋,蜀道,绝句,537379,25014,,,
259,,蒲中次韵提举赵正之秦亭唱和五首,赵鼎,宋,蜀道,律诗,538434,32920,,,
260,,论防边第二疏,赵鼎,宋,蜀道,文,1232404,32920,,,
276,,题幸蜀图,曹勋,宋,蜀道,绝句,206877,27379,,,
277,,寄祝舜俞,李正民,宋,蜀道,古风,533563,27471,,,
278,,黄概兵部侍郎制,李正民,宋,蜀道,文,1226298,27471,,,
279,,寄蜀二首,刘子翚,宋,蜀道,律诗,85042,25057,,,
261,,慈宁寿庆曲,刘才邵,宋,蜀道,古风,539127,25019,,,
262,,读中兴颂碑,王洋,宋,蜀道,古风,74450,30171,,,
263,,送井都运出峡序,郑刚中,宋,蜀道,文,1234602,33190,,,
264,,句,杨粹中,南宋,蜀道,句,131354,28052,,,
265,,四川阙官事奏,李延熙,北宋,蜀道,文,1217640,87696,,,
266,,石桥道中三首,卢襄,宋,蜀道,律诗,526773,23220,,,
267,,太白昼见应诏条阙政劄子,张阐,宋,蜀道,文,1236709,25877,,,
268,,潼川路提刑蒲卣修城转官制,许翰,南宋,蜀道,文,1215362,32174,,,
269,,请改吴玠制词奏,辛炳,宋,蜀道,文,1215628,32972,,,
270,,乞褫夺程敦厚官职窜诸蜀道之外奏,董德元,宋,蜀道,文,1238369,31348,,,
271,,观文殿大学士张浚妻宇文氏可特封益国夫人制,张嵲,宋,蜀道,文,1238460,25575,,,
272,,代卢尚书谢靖康覃恩表,张嵲,宋,蜀道,文,1238865,25575,,,
273,,寄符正民,朱翌,宋,蜀道,律诗,96558,27378,,,
274,,过乌龙岭,朱翌,宋,蜀道,律诗,96482,27378,,,
544,,水调歌头,赵师侠,宋,蜀道,词,185367,32615,,,
280,,送范至能使金序,胡铨,宋,蜀道,文,1242601,31351,,,
281,,祭三十五叔文,胡铨,宋,蜀道,文,1242819,31351,,,
282,,次制帅所和前韵,王之望,宋,蜀道,古风,66591,28578,,,
283,,潼川提刑谢到任表,王之望,宋,蜀道,文,1243274,28578,,,
284,,与荆南刘太尉启,王之望,宋,蜀道,文,1243464,28578,,,
285,,贺成都王制置开藩启,王之望,宋,蜀道,文,1243466,28578,,,
286,,祭汤侍郎文,王之望,宋,蜀道,文,1243609,28578,,,
287,,代句龙君辅上潼州令,陈渊,南宋,蜀道,排律,538044,34896,,,
288,,知绍兴府谢到任表,史浩,宋,蜀道,文,1244037,25069,,,
289,,竹院上梁文,史浩,宋,蜀道,文,1244788,25069,,,
290,,乐府杂拟,黄彦平,南宋,蜀道,乐府曲辞,215336,35681,,,
291,,抚谕四川诏,宋高宗,南宋,蜀道,文,1246519,32769,,,
292,,送王宾察院提点成都府路刑狱,张扩,南宋,蜀道,古风,525727,25638,,,
293,,范埙除成都府路转运副使制,张扩,南宋,蜀道,文,1216836,25638,,,
294,,刘福等转官制,张扩,南宋,蜀道,文,1217053,25638,,,
295,,费植换给左奉议郎制,张扩,南宋,蜀道,文,1217088,25638,,,
296,,孟子礼转右奉议郎王伯序万俟允中并转右承直郎王濩转右文林郎制,张扩,南宋,蜀道,文,1217089,25638,,,
297,,王赏除权礼部侍郎兼实录院修撰制,张扩,南宋,蜀道,文,1217113,25638,,,
298,,王喜转保义郎制,张扩,南宋,蜀道,文,1217205,25638,,,
299,,扇子诗,李石,南宋,蜀道,绝句,117231,27802,,,
300,,黎州贺冬至表,李石,南宋,蜀道,文,1248822,27802,,,
301,,上王宣谕启,李石,南宋,蜀道,文,1248887,27802,,,
318,,答查运使,王十朋,南宋,蜀道,文,1250037,28586,,,
3185,陕西,代祠部墓志铭,宋祁,北宋,,文,1158157,24788,陕西,宝鸡市,凤县
302,,上王制置启,李石,南宋,蜀道,文,1248892,27802,,,
303,,眉州交代季侍郎启,李石,南宋,蜀道,文,1248895,27802,,,
304,,题金沙驿,黄公度,南宋,蜀道,律诗,212057,34505,,,
305,,归云溪三首,郭印,宋,蜀道,律诗,201741,33385,,,
306,,上郑漕二首,郭印,宋,蜀道,律诗,201688,33385,,,
307,,哭冯员仲,王十朋,南宋,蜀道,律诗,542374,28586,,,
308,,李怀安拥麾入蜀道出鄱江见赠二诗依韵奉酬,王十朋,南宋,蜀道,律诗,542410,28586,,,
309,,瑞昌永兴道中作,王十朋,南宋,蜀道,律诗,542553,28586,,,
310,,闻诗闻礼不赴秋试以七月二十五日离太学八月二十六日至兴国军喜其来也因作是诗,王十朋,南宋,蜀道,律诗,542566,28586,,,
311,,阎普州赵果州舟中唱和以巨轴见寄酬以二首,王十朋,南宋,蜀道,律诗,542829,28586,,,
312,,江陵舟中作,王十朋,南宋,蜀道,律诗,542968,28586,,,
313,,送如上人,王十朋,南宋,蜀道,绝句,542777,28586,,,
