ID,Poem Title,latitude,longitude,period,Dynasty of Poem,Keywords of Poem,author,region
170410,太白戏圣俞,,,宋辽金西夏元,北宋,蜀道,欧阳修,
495522,过长安至岐山作,,,宋辽金西夏元,北宋,蜀道,张方平,
495526,兴州长举县西二十里阁道立表曰飞石阁告往来者急度勿停予赴益部兴州将吏来迎皆至长举因访老吏飞石之状云昔尝有之亦飘风暴雨之时也予望山顶皆已垦耕而行人熟虚名至是皆驰过因成一绝,,,宋辽金西夏元,北宋,蜀道,张方平,
495533,杜鹃,,,宋辽金西夏元,北宋,蜀道,张方平,
1162953,书李翰林集后,,,宋辽金西夏元,北宋,蜀道,释契嵩,
495736,送家静及第后赴官清水,,,宋辽金西夏元,北宋,蜀道,苏舜钦,
497330,奉和冯允南二首,,,宋辽金西夏元,北宋,蜀道,范镇,
496774,送崔度推官任满还长安,,,隋唐五代十国,唐末,,赵抃,
1343162,下张鲁解福教,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,刘璋,陕西
496827,送前人还都,,,宋辽金西夏元,北宋,蜀道,赵抃,
496861,再有蜀命别王居卿,,,宋辽金西夏元,北宋,蜀道,赵抃,
496862,入蜀先寄青城张遨先生,,,宋辽金西夏元,北宋,蜀道,赵抃,
497024,过青泥岭,,,宋辽金西夏元,北宋,蜀道,赵抃,
497076,乙巳岁渡关,,,宋辽金西夏元,北宋,蜀道,赵抃,
495913,张唐卿状元通判陜府,,,宋辽金西夏元,北宋,蜀道,韩琦,
1163676,韩鉴除祥符县主簿制,,,秦汉时期,东汉,,韩琦,
249385,送安思正之蜀,,,宋辽金西夏元,北宋,蜀道,蔡襄,
1167510,枢密直学士给事中程戡可依前给事中充端明殿学士知益州制,,,宋辽金西夏元,北宋,蜀道,蔡襄,
163594,楼上旅怀,,,宋辽金西夏元,北宋,蜀道,陈襄,
163581,骊宫悼往,,,宋辽金西夏元,北宋,蜀道,陈襄,
215557,送同年张明远之兴州掾,,,宋辽金西夏元,北宋,蜀道,黄庶,
137633,送朱屯田赴辟成都,,,宋辽金西夏元,北宋,蜀道,苏颂,
137632,送石舍人得告还蜀,,,宋辽金西夏元,北宋,蜀道,苏颂,
137388,邓圣求承旨叠贻佳句过有褒称无言不酬虽复牵强以多为贵固已数穷大雅旁通谅无诮斥,,,宋辽金西夏元,北宋,蜀道,苏颂,
137788,即席分韵送李才元学士守临邛,,,宋辽金西夏元,北宋,蜀道,苏颂,
1174328,皇城副使桑湜可西京左藏库使制,,,宋辽金西夏元,北宋,蜀道,苏颂,
70195,梦张剑州,,,宋辽金西夏元,北宋,蜀道,王安石,
100772,金牛驿,,,宋辽金西夏元,北宋,蜀道,吴师孟,
1177023,读李白文,,,宋辽金西夏元,北宋,蜀道,钱公辅,
217362,依韵和酬阆州刘侍禁季孙见寄,,,宋辽金西夏元,北宋,蜀道,强至,
217163,马上口占呈记注李才元学士,,,宋辽金西夏元,北宋,蜀道,强至,
176105,题淮阴侯庙,,,宋辽金西夏元,北宋,蜀道,郑獬,
1185479,郡牧吕龙图问候状,,,宋辽金西夏元,宋,蜀道,金君卿,
1178783,福源观大殿记,,,三国两晋南北朝,南齐,,郑獬,
500218,送李太博知梓州郪县,,,宋辽金西夏元,北宋,蜀道,刘攽,
500348,送张遂州,,,宋辽金西夏元,北宋,蜀道,刘攽,
1179119,朝散郎虞策可荆湖西路转运判官制,,,宋辽金西夏元,北宋,蜀道,刘攽,
1160371,大宋兴州新开白水路记,,,宋辽金西夏元,北宋,蜀道,雷简夫,
502835,送淳于温其,,,宋辽金西夏元,宋,蜀道,吕陶,
502836,送道粹,,,宋辽金西夏元,北宋,蜀道,吕陶,
502698,送闻人夷庚太博,,,宋辽金西夏元,北宋,蜀道,吕陶,
502603,即席送尧天,,,宋辽金西夏元,北宋,蜀道,吕陶,
1342112,灵河赋,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,应玚,陕西
502154,送蒋宪,,,宋辽金西夏元,北宋,,徐积,
501917,西山高寄崔刑部,,,宋辽金西夏元,北宋,蜀道,徐积,
503926,漱玉泉,,,宋辽金西夏元,北宋,蜀道,蒋之奇,
505905,过朝天岭,,,宋辽金西夏元,北宋,蜀道,韦骧,
505263,咏唐史 张中令,,,宋辽金西夏元,北宋,蜀道,韦骧,
506038,题尤溪县林平铺壁,,,宋辽金西夏元,北宋,蜀道,韦骧,
505992,晚洲岭,,,宋辽金西夏元,北宋,蜀道,韦骧,
1345309,杀乐綝表,31.44234,106.122822,宋辽金西夏元,北宋,蜀道,,
508035,梅山歌,,,三国两晋南北朝,南北朝,,章惇,
506633,蜀道篇送别府尹吴龙图,,,隋唐五代十国,唐,,郭祥正,
1371156,武冈铭,31.44234,106.122822,宋辽金西夏元,北宋,蜀道,,
135676,次韵王定国倅扬州,,,宋辽金西夏元,北宋,蜀道,苏轼,
134377,和子由记园中草木十一首,,,宋辽金西夏元,北宋,蜀道,苏轼,
1186927,荐何宗元十议状,,,宋辽金西夏元,北宋,蜀道,苏轼,
1188371,与陆子厚,,,宋辽金西夏元,北宋,蜀道,苏轼,
504754,送程给事知越州,,,宋辽金西夏元,北宋,蜀道,王靖,
1198354,跋孙过庭蜀道寒云图,,,宋辽金西夏元,北宋,蜀道,王诜,
1191115,宋故汝南郡夫人王氏墓志铭,,,宋辽金西夏元,北宋,蜀道,朱长文,
508349,舟次磁湖以风浪留二日不得进子瞻以诗见寄作二篇答之前篇自赋后篇次韵,,,宋辽金西夏元,北宋,蜀道,苏辙,
138605,送贾讷朝奉通判眉州,,,宋辽金西夏元,北宋,蜀道,苏辙,
138745,题王诜都尉设色山卷后,,,宋辽金西夏元,北宋,蜀道,苏辙,
138018,奉使契丹二十八首,,,宋辽金西夏元,北宋,蜀道,苏辙,
138984,次韵子瞻游径山,,,宋辽金西夏元,北宋,蜀道,苏辙,
1348534,傅子补遗上,31.44234,106.122822,宋辽金西夏元,北宋,蜀道,,
1191788,论兰州等地状,,,宋辽金西夏元,北宋,蜀道,苏辙,
83154,嘉祐寺留别丕上人,,,宋辽金西夏元,北宋,蜀道,皮公弼,
1192919,陕州谢到任表,,,宋辽金西夏元,北宋,蜀道,范祖禹,
504925,秦望山,,,宋辽金西夏元,宋,蜀道,袁默,
1198195,上徽宗论月晕围昴毕,,,宋辽金西夏元,北宋,蜀道,任伯雨,
1204114,论韩玠差除不当奏,,,宋辽金西夏元,北宋,蜀道,刘安世,
514190,送方绚解元赴试南宫用桂林一枝荆山片玉为韵八首,,,宋辽金西夏元,北宋,蜀道,刘弇,
1204591,论种谊生擒鬼章赏未称功奏,,,宋辽金西夏元,北宋,蜀道,常安民,
110621,神功盛德诗,,,宋辽金西夏元,北宋,蜀道,华镇,
120017,送人赴雅州任,,,宋辽金西夏元,北宋,蜀道,李复,
196398,和缙云守关彦远浮山作,,,宋辽金西夏元,北宋,蜀道,晁补之,
196428,复答唐公并呈鲁直成季明略,,,宋辽金西夏元,北宋,蜀道,晁补之,
55096,问讯次九日韵,,,宋辽金西夏元,北宋,蜀道,晁冲之,
245421,李起宗舍人悠然亭,,,宋辽金西夏元,南宋,蜀道,楼钥,
1206225,代谢西川提点刑狱表,,,隋唐五代十国,唐,,陈师道,
130424,送虔守楚大夫,,,宋辽金西夏元,北宋,蜀道,杨时,
130400,过钱塘江迎潮,,,宋辽金西夏元,宋,蜀道,杨时,
503291,隆庆,,,宋辽金西夏元,宋,蜀道,陈鹏,
506361,和朱牧宣德,,,宋辽金西夏元,北宋,蜀道,冯山,
122827,范蜀公挽诗,,,宋辽金西夏元,北宋,蜀道,李廌,
122838,哀都官王申,,,宋辽金西夏元,北宋,蜀道,李廌,
122868,程高承议赴夔路转运判官求诗,,,宋辽金西夏元,北宋,蜀道,李廌,
197587,题杨如晦二画 蜀道图,,,宋辽金西夏元,北宋,蜀道,晁说之,
197559,谢邵三十五郎博诗卷,,,宋辽金西夏元,宋,蜀道,晁说之,
70882,挽苏黄门子由,,,宋辽金西夏元,宋,蜀道,王巩,
516639,寄参寥,,,宋辽金西夏元,宋,蜀道,邹浩,
123558,呈恩主户部郎中,,,宋辽金西夏元,北宋,蜀道,李新,
123349,寿王提举二首,,,宋辽金西夏元,北宋,蜀道,李新,
123476,燕走马少卿口号,,,宋辽金西夏元,北宋,蜀道,李新,
123399,送钱使者三首,,,宋辽金西夏元,北宋,蜀道,李新,
1210279,皇帝即位贺表,,,宋辽金西夏元,北宋,蜀道,李新,
1210318,上王知府书,,,宋辽金西夏元,北宋,蜀道,李新,
1210343,上张运判书,,,宋辽金西夏元,北宋,蜀道,李新,
1210345,上孙运使书,,,宋辽金西夏元,北宋,蜀道,李新,
1210359,李转运判官远迎启,,,宋辽金西夏元,北宋,蜀道,李新,
1210362,贺秦州陆待制启,,,宋辽金西夏元,北宋,蜀道,李新,
1210365,上章相公贺冬启,,,宋辽金西夏元,北宋,蜀道,李新,
1210376,到任谢两府启,,,宋辽金西夏元,北宋,蜀道,李新,
1218047,贺杜察院启,,,宋辽金西夏元,北宋,蜀道,翟汝文,
252779,于眉州挽诗,,,宋辽金西夏元,宋,蜀道,魏了翁,
1210386,代人与程侍晨启,,,宋辽金西夏元,南宋,蜀道,李新,
1210387,谢席徽猷荐考察启,,,宋辽金西夏元,北宋,蜀道,李新,
1210395,贺郑太宰启,,,宋辽金西夏元,北宋,蜀道,李新,
1210399,贺李侍郎启,,,宋辽金西夏元,北宋,蜀道,李新,
1210403,代贺冯左丞启,,,宋辽金西夏元,北宋,蜀道,李新,
1210495,潼川府修城记,,,宋辽金西夏元,北宋,蜀道,李新,
1210498,遗爱堂记,,,宋辽金西夏元,北宋,蜀道,李新,
1191148,论不可轻弃兰州横山奏,,,宋辽金西夏元,北宋,蜀道,孙路,
1195578,题紫溪驿壁文,,,宋辽金西夏元,宋,蜀道,叶祖洽,
1210784,贺张丞相启,,,宋辽金西夏元,宋,蜀道,晁咏之,
1208198,书简帖,,,宋辽金西夏元,宋,蜀道,薛绍彭,
1250042,答潼川运使何舍人,,,宋辽金西夏元,宋,蜀道,王十朋,
1204069,代送席师序,,,宋辽金西夏元,南宋,蜀道,杨天惠,
522411,送别城西有感简元显,,,宋辽金西夏元,宋,蜀道,廖刚,
1212991,祭文叔文,,,宋辽金西夏元,宋,蜀道,廖刚,
520421,别闽中许秀才,,,宋辽金西夏元,宋,蜀道,唐庚,
520299,忆昔行,,,宋辽金西夏元,北宋,蜀道,唐庚,
1213117,谢及第启,,,宋辽金西夏元,北宋,蜀道,唐庚,
520589,陈莹中自合浦迁郴州时余同粹中寓百丈粹中请迓之以病不果粹中独行作此送之,,,宋辽金西夏元,北宋,蜀道,释德洪,
1213426,画浪轩记,,,宋辽金西夏元,北宋,蜀道,释惠洪,
1214694,贺圣朝词帖跋,,,宋辽金西夏元,北宋,蜀道,米友仁,
1365989,大宝积经述,32.228821,107.445367,宋辽金西夏元,宋,蜀道,,
1214407,贺宇文宝文知湖州启,,,宋辽金西夏元,宋,蜀道,葛胜仲,
523066,张敏叔守梓州,,,宋辽金西夏元,宋,蜀道,许景衡,
861063,过张桓侯故里,,,明清时期,清,蜀道,卢见曾,
1218048,贺赵礼侍启,,,隋唐五代十国,唐,,翟汝文,
1204622,司马仲达论,,,宋辽金西夏元,宋,蜀道,何去非,
1221138,与胡邦衡书,,,宋辽金西夏元,宋,蜀道,李光,
17527,和令狐相公晚泛汉江书怀寄洋州崔侍郎阆州高舍人二曹长,31.44234,106.122822,宋辽金西夏元,宋,蜀道,,
529375,沈夫人挽诗二首,,,宋辽金西夏元,北宋,,刘一止,
1371902,复汉以粟为赏罚议,31.44234,106.122822,宋辽金西夏元,宋,蜀道,,
528561,过五岭,,,宋辽金西夏元,宋,蜀道,汪藻,
1204052,故南宫舍人米公墓志,,,宋辽金西夏元,北宋,蜀道,蔡肇,
1222040,跋蜀道图后,,,宋辽金西夏元,北宋,蜀道,黄伯思,
1227997,攻讨晏州夷贼手诏,,,宋辽金西夏元,北宋,蜀道,宋徽宗,
1229079,艮岳记,,,宋辽金西夏元,北宋,蜀道,宋徽宗,
532017,过石壁,,,宋辽金西夏元,北宋末,蜀道,周紫芝,
1229371,除吴玠特授检校少师奉宁保静军节度使依前川陕宣抚副使进封建安郡开国侯加食邑食实封制,,,宋辽金西夏元,宋,蜀道,綦崇礼,
1229399,赐川陕宣抚使司张浚诏,,,宋辽金西夏元,宋,蜀道,綦崇礼,
1240146,缴刘黻潼川府提刑奏,,,宋辽金西夏元,宋,蜀道,胡寅,
1229624,代王复谢成都利州路钤辖界首交割表,,,宋辽金西夏元,宋,蜀道,綦崇礼,
1229669,待罪奏状,,,宋辽金西夏元,宋,蜀道,綦崇礼,
535411,杨夫人挽章二首,,,宋辽金西夏元,宋,蜀道,李纲,
534527,题伯时明皇蜀道图,,,宋辽金西夏元,宋,蜀道,李纲,
534533,次韵顾子美见示题曲江画像,,,宋辽金西夏元,宋,蜀道,李纲,
1240486,宋故文安郡开国侯王徽学墓志铭,,,宋辽金西夏元,南宋,蜀道,朱承,
1232079,贺张知院除右仆射启,,,宋辽金西夏元,宋,蜀道,张守,
537379,严君平,,,宋辽金西夏元,宋,蜀道,吕本中,
538434,蒲中次韵提举赵正之秦亭唱和五首,,,宋辽金西夏元,宋,蜀道,赵鼎,
1232404,论防边第二疏,,,宋辽金西夏元,宋,蜀道,赵鼎,
206877,题幸蜀图,,,宋辽金西夏元,宋,蜀道,曹勋,
533563,寄祝舜俞,,,宋辽金西夏元,宋,蜀道,李正民,
1226298,黄概兵部侍郎制,,,宋辽金西夏元,宋,蜀道,李正民,
85042,寄蜀二首,,,宋辽金西夏元,宋,蜀道,刘子翚,
539127,慈宁寿庆曲,,,宋辽金西夏元,宋,蜀道,刘才邵,
74450,读中兴颂碑,,,宋辽金西夏元,宋,蜀道,王洋,
1234602,送井都运出峡序,,,宋辽金西夏元,宋,蜀道,郑刚中,
131354,句,,,宋辽金西夏元,南宋,蜀道,庞籍,
1217640,四川阙官事奏,,,宋辽金西夏元,北宋,蜀道,李延熙,
526773,石桥道中三首,,,宋辽金西夏元,宋,蜀道,卢襄,
1236709,太白昼见应诏条阙政劄子,,,宋辽金西夏元,宋,蜀道,张阐,
1215362,潼川路提刑蒲卣修城转官制,,,宋辽金西夏元,南宋,蜀道,许翰,
1215628,请改吴玠制词奏,,,宋辽金西夏元,宋,蜀道,辛炳,
1238369,乞褫夺程敦厚官职窜诸蜀道之外奏,,,宋辽金西夏元,宋,蜀道,董德元,
1238460,观文殿大学士张浚妻宇文氏可特封益国夫人制,,,宋辽金西夏元,宋,蜀道,张嵲,
1238865,代卢尚书谢靖康覃恩表,,,宋辽金西夏元,宋,蜀道,张嵲,
96558,寄符正民,,,宋辽金西夏元,宋,蜀道,朱翌,
96482,过乌龙岭,,,宋辽金西夏元,宋,蜀道,朱翌,
185367,水调歌头,,,宋辽金西夏元,宋,蜀道,赵师侠,
1242601,送范至能使金序,,,宋辽金西夏元,宋,蜀道,胡铨,
1242819,祭三十五叔文,,,宋辽金西夏元,宋,蜀道,胡铨,
66591,次制帅所和前韵,,,宋辽金西夏元,宋,蜀道,王之望,
1243274,潼川提刑谢到任表,,,宋辽金西夏元,宋,蜀道,王之望,
1243464,与荆南刘太尉启,,,宋辽金西夏元,宋,蜀道,王之望,
1243466,贺成都王制置开藩启,,,宋辽金西夏元,宋,蜀道,王之望,
1243609,祭汤侍郎文,,,宋辽金西夏元,宋,蜀道,王之望,
538044,代句龙君辅上潼州令,,,宋辽金西夏元,南宋,蜀道,陈渊,
1244037,知绍兴府谢到任表,,,宋辽金西夏元,宋,蜀道,史浩,
1244788,竹院上梁文,,,宋辽金西夏元,宋,蜀道,史浩,
215336,乐府杂拟,,,宋辽金西夏元,南宋,蜀道,黄彦平,
1246519,抚谕四川诏,,,宋辽金西夏元,南宋,蜀道,宋高宗,
525727,送王宾察院提点成都府路刑狱,,,宋辽金西夏元,南宋,蜀道,张扩,
1216836,范埙除成都府路转运副使制,,,宋辽金西夏元,南宋,蜀道,张扩,
1217053,刘福等转官制,,,宋辽金西夏元,南宋,蜀道,张扩,
1217088,费植换给左奉议郎制,,,宋辽金西夏元,南宋,蜀道,张扩,
1217089,孟子礼转右奉议郎王伯序万俟允中并转右承直郎王濩转右文林郎制,,,宋辽金西夏元,南宋,蜀道,张扩,
1217113,王赏除权礼部侍郎兼实录院修撰制,,,宋辽金西夏元,南宋,蜀道,张扩,
1217205,王喜转保义郎制,,,宋辽金西夏元,南宋,蜀道,张扩,
117231,扇子诗,,,宋辽金西夏元,南宋,蜀道,李石,
1248822,黎州贺冬至表,,,宋辽金西夏元,南宋,蜀道,李石,
1248887,上王宣谕启,,,宋辽金西夏元,南宋,蜀道,李石,
1250037,答查运使,,,宋辽金西夏元,南宋,蜀道,王十朋,
1248892,上王制置启,,,宋辽金西夏元,北宋,,李石,
1248895,眉州交代季侍郎启,,,宋辽金西夏元,南宋,蜀道,李石,
212057,题金沙驿,,,宋辽金西夏元,南宋,蜀道,黄公度,
201741,归云溪三首,,,宋辽金西夏元,南宋,蜀道,郭印,
201688,上郑漕二首,,,宋辽金西夏元,宋,蜀道,郭印,
542374,哭冯员仲,,,宋辽金西夏元,宋,蜀道,王十朋,
542410,李怀安拥麾入蜀道出鄱江见赠二诗依韵奉酬,,,宋辽金西夏元,南宋,蜀道,王十朋,
542553,瑞昌永兴道中作,,,宋辽金西夏元,南宋,蜀道,王十朋,
542566,闻诗闻礼不赴秋试以七月二十五日离太学八月二十六日至兴国军喜其来也因作是诗,,,宋辽金西夏元,南宋,蜀道,王十朋,
542829,阎普州赵果州舟中唱和以巨轴见寄酬以二首,,,宋辽金西夏元,南宋,蜀道,王十朋,
542968,江陵舟中作,,,宋辽金西夏元,南宋,蜀道,王十朋,
542777,送如上人,,,宋辽金西夏元,南宋,蜀道,王十朋,
543002,南浦,,,宋辽金西夏元,南宋,蜀道,王十朋,
