ID,Poem Title,latitude,longitude,period,Dynasty of Poem,Keywords of Poem,author,region,city,county,id_2
250564,成都书事百韵,,,隋唐五代十国,唐末至前蜀,蜀道,薛田,,,,75
1343969,假徐晃节令,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,曹操,陕西,汉中市,,76
1340371,封杨赐等诏,33.027948,107.006472,宋辽金西夏元,宋,蜀道,汉灵帝,陕西,汉中市,,77
1348881,木兰赋,31.44234,106.122822,宋辽金西夏元,北宋,,,,,,78
1376796,册赠刘崇望司空文,,,隋唐五代十国,唐,蜀道,钱珝,,,,79
21411,送人入蜀,,,隋唐五代十国,唐末至五代,蜀道,齐己,,,,80
1376699,白衣入翰林赋,,,隋唐五代十国,唐末至五代,蜀道,徐寅,,,,81
43720,采桑子,,,隋唐五代十国,前蜀,蜀道,花蕊夫人,,,,82
47297,蜀中送人游庐山,,,隋唐五代十国,后蜀,蜀道,释楚峦,,,,83
1147336,陈州谢恩表,,,宋辽金西夏元,北宋,蜀道,田锡,,,,84
1147781,雨赋,,,宋辽金西夏元,北宋,蜀道,吴淑,,,,85
75164,酬杨遂,,,宋辽金西夏元,北宋,蜀道,王禹偁,,,,86
1341705,风俗通义佚文卷三,33.027948,107.006472,隋唐五代十国,初唐,,应劭,陕西,汉中市,,87
55490,柳,,,宋辽金西夏元,北宋,蜀道,丁谓,,,,88
55470,江,,,宋辽金西夏元,北宋,蜀道,丁谓,,,,89
129018,大理赵寺丞世长知益州华阳县,,,宋辽金西夏元,北宋,蜀道,杨亿,,,,90
1341956,风俗通义佚文卷：氏姓下,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,应劭,陕西,汉中市,,91
494483,过李白坟,,,宋辽金西夏元,北宋,蜀道,胡宿,,,,92
182311,长卿,,,宋辽金西夏元,北宋,蜀道,胡宿,,,,93
105701,蜀地海棠繁媚有思加腻干丰条苒弱可爱北方所未见诸公作诗流播西人余素好玩不能自默然所道皆在前人陈迹中如国风申章亦无愧云,,,宋辽金西夏元,北宋,蜀道,宋祁,,,,94
1157959,送张端公转运两浙序,,,宋辽金西夏元,北宋,蜀道,宋祁,,,,95
99545,赣石,,,宋辽金西夏元,北宋,蜀道,余靖,,,,96
208555,哭王几道职方三首,,,宋辽金西夏元,北宋,蜀道,梅尧臣,,,,97
208494,送阆州驻泊荆供奉,,,宋辽金西夏元,北宋,,梅尧臣,,,,98
636,从军诗五首,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,王粲,陕西,汉中市,,99
209965,送杨浩秘丞入蜀,,,宋辽金西夏元,北宋,蜀道,梅尧臣,,,,100
209915,送吴季野,,,宋辽金西夏元,北宋,蜀道,梅尧臣,,,,101
210441,雷太简遗蜀鞭,,,宋辽金西夏元,北宋,,梅尧臣,,,,102
1336709,为曹洪与魏文帝书,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,陈琳,陕西,汉中市,,103
209270,张斯立遂州司理,,,宋辽金西夏元,北宋,蜀道,梅尧臣,,,,104
209184,行路难,,,宋辽金西夏元,北宋,蜀道,梅尧臣,,,,105
83203,赴任嘉州初登栈道寄题姜潜至之读易堂,,,宋辽金西夏元,北宋,蜀道,石介,,,,106
83185,入蜀至左绵路次水轩暂憩,,,宋辽金西夏元,北宋,蜀道,石介,,,,107
83262,送冯司理之任彭州,,,宋辽金西夏元,北宋,蜀道,石介,,,,108
83289,蜀道自勉,,,宋辽金西夏元,北宋,蜀道,石介,,,,109
494229,路次覆盆驿,,,宋辽金西夏元,北宋,蜀道,王周,,,,110
123793,读长恨辞二首,,,三国两晋南北朝,汉,,李觏,,,,111
1336730,檄吴将校部曲文,33.027948,107.006472,隋唐五代十国,五代,,陈琳,陕西,汉中市,,112
83267,闻子规,,,宋辽金西夏元,北宋,蜀道,石介,,,,113
83314,宋颂九首,,,宋辽金西夏元,北宋,蜀道,石介,,,,114
1340797,计说鲍永,34.259695,108.784514,宋辽金西夏元,北宋,蜀道,冯衍,陕西,西安市,长安区,115
170206,送左殿丞入蜀,,,宋辽金西夏元,北宋,蜀道,欧阳修,,,,116
170209,送石扬休还蜀,,,宋辽金西夏元,北宋,蜀道,欧阳修,,,,117
170410,太白戏圣俞,,,宋辽金西夏元,北宋,蜀道,欧阳修,,,,118
495522,过长安至岐山作,,,宋辽金西夏元,北宋,蜀道,张方平,,,,119
495526,兴州长举县西二十里阁道立表曰飞石阁告往来者急度勿停予赴益部兴州将吏来迎皆至长举因访老吏飞石之状云昔尝有之亦飘风暴雨之时也予望山顶皆已垦耕而行人熟虚名至是皆驰过因成一绝,,,宋辽金西夏元,北宋,蜀道,张方平,,,,120
495533,杜鹃,,,宋辽金西夏元,北宋,蜀道,张方平,,,,121
1162953,书李翰林集后,,,宋辽金西夏元,北宋,蜀道,释契嵩,,,,122
495736,送家静及第后赴官清水,,,宋辽金西夏元,北宋,蜀道,苏舜钦,,,,123
497330,奉和冯允南二首,,,宋辽金西夏元,北宋,蜀道,范镇,,,,124
496774,送崔度推官任满还长安,,,隋唐五代十国,唐末,,赵抃,,,,125
1343162,下张鲁解福教,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,刘璋,陕西,汉中市,,126
496827,送前人还都,,,宋辽金西夏元,北宋,蜀道,赵抃,,,,127
496861,再有蜀命别王居卿,,,宋辽金西夏元,北宋,蜀道,赵抃,,,,128
496862,入蜀先寄青城张遨先生,,,宋辽金西夏元,北宋,蜀道,赵抃,,,,129
497024,过青泥岭,,,宋辽金西夏元,北宋,蜀道,赵抃,,,,130
497076,乙巳岁渡关,,,宋辽金西夏元,北宋,蜀道,赵抃,,,,131
495913,张唐卿状元通判陜府,,,宋辽金西夏元,北宋,蜀道,韩琦,,,,132
1163676,韩鉴除祥符县主簿制,,,秦汉时期,东汉,,韩琦,,,,133
249385,送安思正之蜀,,,宋辽金西夏元,北宋,蜀道,蔡襄,,,,134
1167510,枢密直学士给事中程戡可依前给事中充端明殿学士知益州制,,,宋辽金西夏元,北宋,蜀道,蔡襄,,,,135
163594,楼上旅怀,,,宋辽金西夏元,北宋,蜀道,陈襄,,,,136
163581,骊宫悼往,,,宋辽金西夏元,北宋,蜀道,陈襄,,,,137
215557,送同年张明远之兴州掾,,,宋辽金西夏元,北宋,蜀道,黄庶,,,,138
137633,送朱屯田赴辟成都,,,宋辽金西夏元,北宋,蜀道,苏颂,,,,139
137632,送石舍人得告还蜀,,,宋辽金西夏元,北宋,蜀道,苏颂,,,,140
137388,邓圣求承旨叠贻佳句过有褒称无言不酬虽复牵强以多为贵固已数穷大雅旁通谅无诮斥,,,宋辽金西夏元,北宋,蜀道,苏颂,,,,141
137788,即席分韵送李才元学士守临邛,,,宋辽金西夏元,北宋,蜀道,苏颂,,,,142
1174328,皇城副使桑湜可西京左藏库使制,,,宋辽金西夏元,北宋,蜀道,苏颂,,,,143
70195,梦张剑州,,,宋辽金西夏元,北宋,蜀道,王安石,,,,144
100772,金牛驿,,,宋辽金西夏元,北宋,蜀道,吴师孟,,,,145
1177023,读李白文,,,宋辽金西夏元,北宋,蜀道,钱公辅,,,,146
217362,依韵和酬阆州刘侍禁季孙见寄,,,宋辽金西夏元,北宋,蜀道,强至,,,,147
217163,马上口占呈记注李才元学士,,,宋辽金西夏元,北宋,蜀道,强至,,,,148
176105,题淮阴侯庙,,,宋辽金西夏元,北宋,蜀道,郑獬,,,,149
1185479,郡牧吕龙图问候状,,,宋辽金西夏元,宋,蜀道,金君卿,,,,150
1178783,福源观大殿记,,,三国两晋南北朝,南齐,,郑獬,,,,151
500218,送李太博知梓州郪县,,,宋辽金西夏元,北宋,蜀道,刘攽,,,,152
500348,送张遂州,,,宋辽金西夏元,北宋,蜀道,刘攽,,,,153
1179119,朝散郎虞策可荆湖西路转运判官制,,,宋辽金西夏元,北宋,蜀道,刘攽,,,,154
1160371,大宋兴州新开白水路记,,,宋辽金西夏元,北宋,蜀道,雷简夫,,,,155
502835,送淳于温其,,,宋辽金西夏元,宋,蜀道,吕陶,,,,156
502836,送道粹,,,宋辽金西夏元,北宋,蜀道,吕陶,,,,157
502698,送闻人夷庚太博,,,宋辽金西夏元,北宋,蜀道,吕陶,,,,158
502603,即席送尧天,,,宋辽金西夏元,北宋,蜀道,吕陶,,,,159
1342112,灵河赋,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,应玚,陕西,汉中市,,160
502154,送蒋宪,,,宋辽金西夏元,北宋,,徐积,,,,161
501917,西山高寄崔刑部,,,宋辽金西夏元,北宋,蜀道,徐积,,,,162
503926,漱玉泉,,,宋辽金西夏元,北宋,蜀道,蒋之奇,,,,163
505905,过朝天岭,,,宋辽金西夏元,北宋,蜀道,韦骧,,,,164
505263,咏唐史 张中令,,,宋辽金西夏元,北宋,蜀道,韦骧,,,,165
506038,题尤溪县林平铺壁,,,宋辽金西夏元,北宋,蜀道,韦骧,,,,166
505992,晚洲岭,,,宋辽金西夏元,北宋,蜀道,韦骧,,,,167
1345309,杀乐綝表,31.44234,106.122822,宋辽金西夏元,北宋,蜀道,,,,,168
508035,梅山歌,,,三国两晋南北朝,南北朝,,章惇,,,,169
506633,蜀道篇送别府尹吴龙图,,,隋唐五代十国,唐,,郭祥正,,,,170
1371156,武冈铭,31.44234,106.122822,宋辽金西夏元,北宋,蜀道,,,,,171
135676,次韵王定国倅扬州,,,宋辽金西夏元,北宋,蜀道,苏轼,,,,172
134377,和子由记园中草木十一首,,,宋辽金西夏元,北宋,蜀道,苏轼,,,,173
1186927,荐何宗元十议状,,,宋辽金西夏元,北宋,蜀道,苏轼,,,,174
1188371,与陆子厚,,,宋辽金西夏元,北宋,蜀道,苏轼,,,,175
504754,送程给事知越州,,,宋辽金西夏元,北宋,蜀道,王靖,,,,176
1198354,跋孙过庭蜀道寒云图,,,宋辽金西夏元,北宋,蜀道,王诜,,,,177
1191115,宋故汝南郡夫人王氏墓志铭,,,宋辽金西夏元,北宋,蜀道,朱长文,,,,178
508349,舟次磁湖以风浪留二日不得进子瞻以诗见寄作二篇答之前篇自赋后篇次韵,,,宋辽金西夏元,北宋,蜀道,苏辙,,,,179
138605,送贾讷朝奉通判眉州,,,宋辽金西夏元,北宋,蜀道,苏辙,,,,180
138745,题王诜都尉设色山卷后,,,宋辽金西夏元,北宋,蜀道,苏辙,,,,181
138018,奉使契丹二十八首,,,宋辽金西夏元,北宋,蜀道,苏辙,,,,182
138984,次韵子瞻游径山,,,宋辽金西夏元,北宋,蜀道,苏辙,,,,183
1348534,傅子补遗上,31.44234,106.122822,宋辽金西夏元,北宋,蜀道,,,,,184
1191788,论兰州等地状,,,宋辽金西夏元,北宋,蜀道,苏辙,,,,185
83154,嘉祐寺留别丕上人,,,宋辽金西夏元,北宋,蜀道,皮公弼,,,,186
1192919,陕州谢到任表,,,宋辽金西夏元,北宋,蜀道,范祖禹,,,,187
504925,秦望山,,,宋辽金西夏元,宋,蜀道,袁默,,,,188
1198195,上徽宗论月晕围昴毕,,,宋辽金西夏元,北宋,蜀道,任伯雨,,,,189
1204114,论韩玠差除不当奏,,,宋辽金西夏元,北宋,蜀道,刘安世,,,,190
514190,送方绚解元赴试南宫用桂林一枝荆山片玉为韵八首,,,宋辽金西夏元,北宋,蜀道,刘弇,,,,191
1204591,论种谊生擒鬼章赏未称功奏,,,宋辽金西夏元,北宋,蜀道,常安民,,,,192
110621,神功盛德诗,,,宋辽金西夏元,北宋,蜀道,华镇,,,,193
120017,送人赴雅州任,,,宋辽金西夏元,北宋,蜀道,李复,,,,194
196398,和缙云守关彦远浮山作,,,宋辽金西夏元,北宋,蜀道,晁补之,,,,195
196428,复答唐公并呈鲁直成季明略,,,宋辽金西夏元,北宋,蜀道,晁补之,,,,196
55096,问讯次九日韵,,,宋辽金西夏元,北宋,蜀道,晁冲之,,,,197
245421,李起宗舍人悠然亭,,,宋辽金西夏元,南宋,蜀道,楼钥,,,,198
1206225,代谢西川提点刑狱表,,,隋唐五代十国,唐,,陈师道,,,,199
130424,送虔守楚大夫,,,宋辽金西夏元,北宋,蜀道,杨时,,,,200
130400,过钱塘江迎潮,,,宋辽金西夏元,宋,蜀道,杨时,,,,201
503291,隆庆,,,宋辽金西夏元,宋,蜀道,陈鹏,,,,202
506361,和朱牧宣德,,,宋辽金西夏元,北宋,蜀道,冯山,,,,203
122827,范蜀公挽诗,,,宋辽金西夏元,北宋,蜀道,李廌,,,,204
122838,哀都官王申,,,宋辽金西夏元,北宋,蜀道,李廌,,,,205
122868,程高承议赴夔路转运判官求诗,,,宋辽金西夏元,北宋,蜀道,李廌,,,,206
197587,题杨如晦二画 蜀道图,,,宋辽金西夏元,北宋,蜀道,晁说之,,,,207
197559,谢邵三十五郎博诗卷,,,宋辽金西夏元,宋,蜀道,晁说之,,,,208
70882,挽苏黄门子由,,,宋辽金西夏元,宋,蜀道,王巩,,,,209
516639,寄参寥,,,宋辽金西夏元,宋,蜀道,邹浩,,,,210
123558,呈恩主户部郎中,,,宋辽金西夏元,北宋,蜀道,李新,,,,211
123349,寿王提举二首,,,宋辽金西夏元,北宋,蜀道,李新,,,,212
123476,燕走马少卿口号,,,宋辽金西夏元,北宋,蜀道,李新,,,,213
123399,送钱使者三首,,,宋辽金西夏元,北宋,蜀道,李新,,,,214
1210279,皇帝即位贺表,,,宋辽金西夏元,北宋,蜀道,李新,,,,215
1210318,上王知府书,,,宋辽金西夏元,北宋,蜀道,李新,,,,216
1210343,上张运判书,,,宋辽金西夏元,北宋,蜀道,李新,,,,217
1210345,上孙运使书,,,宋辽金西夏元,北宋,蜀道,李新,,,,218
1210359,李转运判官远迎启,,,宋辽金西夏元,北宋,蜀道,李新,,,,219
1210362,贺秦州陆待制启,,,宋辽金西夏元,北宋,蜀道,李新,,,,220
1210365,上章相公贺冬启,,,宋辽金西夏元,北宋,蜀道,李新,,,,221
1210376,到任谢两府启,,,宋辽金西夏元,北宋,蜀道,李新,,,,222
1218047,贺杜察院启,,,宋辽金西夏元,北宋,蜀道,翟汝文,,,,223
252779,于眉州挽诗,,,宋辽金西夏元,宋,蜀道,魏了翁,,,,224
1210386,代人与程侍晨启,,,宋辽金西夏元,南宋,蜀道,李新,,,,225
1210387,谢席徽猷荐考察启,,,宋辽金西夏元,北宋,蜀道,李新,,,,226
1210395,贺郑太宰启,,,宋辽金西夏元,北宋,蜀道,李新,,,,227
1210399,贺李侍郎启,,,宋辽金西夏元,北宋,蜀道,李新,,,,228
1210403,代贺冯左丞启,,,宋辽金西夏元,北宋,蜀道,李新,,,,229
1210495,潼川府修城记,,,宋辽金西夏元,北宋,蜀道,李新,,,,230
1210498,遗爱堂记,,,宋辽金西夏元,北宋,蜀道,李新,,,,231
1191148,论不可轻弃兰州横山奏,,,宋辽金西夏元,北宋,蜀道,孙路,,,,232
1195578,题紫溪驿壁文,,,宋辽金西夏元,宋,蜀道,叶祖洽,,,,233
1210784,贺张丞相启,,,宋辽金西夏元,宋,蜀道,晁咏之,,,,234
1208198,书简帖,,,宋辽金西夏元,宋,蜀道,薛绍彭,,,,235
1250042,答潼川运使何舍人,,,宋辽金西夏元,宋,蜀道,王十朋,,,,236
1204069,代送席师序,,,宋辽金西夏元,南宋,蜀道,杨天惠,,,,237
522411,送别城西有感简元显,,,宋辽金西夏元,宋,蜀道,廖刚,,,,238
1212991,祭文叔文,,,宋辽金西夏元,宋,蜀道,廖刚,,,,239
520421,别闽中许秀才,,,宋辽金西夏元,宋,蜀道,唐庚,,,,240
520299,忆昔行,,,宋辽金西夏元,北宋,蜀道,唐庚,,,,241
1213117,谢及第启,,,宋辽金西夏元,北宋,蜀道,唐庚,,,,242
520589,陈莹中自合浦迁郴州时余同粹中寓百丈粹中请迓之以病不果粹中独行作此送之,,,宋辽金西夏元,北宋,蜀道,释德洪,,,,243
1213426,画浪轩记,,,宋辽金西夏元,北宋,蜀道,释惠洪,,,,244
1214694,贺圣朝词帖跋,,,宋辽金西夏元,北宋,蜀道,米友仁,,,,245
1365989,大宝积经述,32.228821,107.445367,宋辽金西夏元,宋,蜀道,,,,,246
1214407,贺宇文宝文知湖州启,,,宋辽金西夏元,宋,蜀道,葛胜仲,,,,247
523066,张敏叔守梓州,,,宋辽金西夏元,宋,蜀道,许景衡,,,,248
861063,过张桓侯故里,,,明清时期,清,蜀道,卢见曾,,,,249
1218048,贺赵礼侍启,,,隋唐五代十国,唐,,翟汝文,,,,250
1204622,司马仲达论,,,宋辽金西夏元,宋,蜀道,何去非,,,,251
1221138,与胡邦衡书,,,宋辽金西夏元,宋,蜀道,李光,,,,252
17527,和令狐相公晚泛汉江书怀寄洋州崔侍郎阆州高舍人二曹长,31.44234,106.122822,宋辽金西夏元,宋,蜀道,,,,,253
529375,沈夫人挽诗二首,,,宋辽金西夏元,北宋,,刘一止,,,,254
1371902,复汉以粟为赏罚议,31.44234,106.122822,宋辽金西夏元,宋,蜀道,,,,,255
528561,过五岭,,,宋辽金西夏元,宋,蜀道,汪藻,,,,256
1204052,故南宫舍人米公墓志,,,宋辽金西夏元,北宋,蜀道,蔡肇,,,,257
1222040,跋蜀道图后,,,宋辽金西夏元,北宋,蜀道,黄伯思,,,,258
1227997,攻讨晏州夷贼手诏,,,宋辽金西夏元,北宋,蜀道,宋徽宗,,,,259
1229079,艮岳记,,,宋辽金西夏元,北宋,蜀道,宋徽宗,,,,260
532017,过石壁,,,宋辽金西夏元,北宋末,蜀道,周紫芝,,,,261
1229371,除吴玠特授检校少师奉宁保静军节度使依前川陕宣抚副使进封建安郡开国侯加食邑食实封制,,,宋辽金西夏元,宋,蜀道,綦崇礼,,,,262
1229399,赐川陕宣抚使司张浚诏,,,宋辽金西夏元,宋,蜀道,綦崇礼,,,,263
1240146,缴刘黻潼川府提刑奏,,,宋辽金西夏元,宋,蜀道,胡寅,,,,264
1229624,代王复谢成都利州路钤辖界首交割表,,,宋辽金西夏元,宋,蜀道,綦崇礼,,,,265
1229669,待罪奏状,,,宋辽金西夏元,宋,蜀道,綦崇礼,,,,266
535411,杨夫人挽章二首,,,宋辽金西夏元,宋,蜀道,李纲,,,,267
534527,题伯时明皇蜀道图,,,宋辽金西夏元,宋,蜀道,李纲,,,,268
534533,次韵顾子美见示题曲江画像,,,宋辽金西夏元,宋,蜀道,李纲,,,,269
1240486,宋故文安郡开国侯王徽学墓志铭,,,宋辽金西夏元,南宋,蜀道,朱承,,,,270
1232079,贺张知院除右仆射启,,,宋辽金西夏元,宋,蜀道,张守,,,,271
537379,严君平,,,宋辽金西夏元,宋,蜀道,吕本中,,,,272
538434,蒲中次韵提举赵正之秦亭唱和五首,,,宋辽金西夏元,宋,蜀道,赵鼎,,,,273
1232404,论防边第二疏,,,宋辽金西夏元,宋,蜀道,赵鼎,,,,274
206877,题幸蜀图,,,宋辽金西夏元,宋,蜀道,曹勋,,,,275
533563,寄祝舜俞,,,宋辽金西夏元,宋,蜀道,李正民,,,,276
1226298,黄概兵部侍郎制,,,宋辽金西夏元,宋,蜀道,李正民,,,,277
85042,寄蜀二首,,,宋辽金西夏元,宋,蜀道,刘子翚,,,,278
539127,慈宁寿庆曲,,,宋辽金西夏元,宋,蜀道,刘才邵,,,,279
74450,读中兴颂碑,,,宋辽金西夏元,宋,蜀道,王洋,,,,280
1234602,送井都运出峡序,,,宋辽金西夏元,宋,蜀道,郑刚中,,,,281
131354,句,,,宋辽金西夏元,南宋,蜀道,庞籍,,,,282
1217640,四川阙官事奏,,,宋辽金西夏元,北宋,蜀道,李延熙,,,,283
526773,石桥道中三首,,,宋辽金西夏元,宋,蜀道,卢襄,,,,284
1236709,太白昼见应诏条阙政劄子,,,宋辽金西夏元,宋,蜀道,张阐,,,,285
1215362,潼川路提刑蒲卣修城转官制,,,宋辽金西夏元,南宋,蜀道,许翰,,,,286
1215628,请改吴玠制词奏,,,宋辽金西夏元,宋,蜀道,辛炳,,,,287
1238369,乞褫夺程敦厚官职窜诸蜀道之外奏,,,宋辽金西夏元,宋,蜀道,董德元,,,,288
1238460,观文殿大学士张浚妻宇文氏可特封益国夫人制,,,宋辽金西夏元,宋,蜀道,张嵲,,,,289
1238865,代卢尚书谢靖康覃恩表,,,宋辽金西夏元,宋,蜀道,张嵲,,,,290
96558,寄符正民,,,宋辽金西夏元,宋,蜀道,朱翌,,,,291
96482,过乌龙岭,,,宋辽金西夏元,宋,蜀道,朱翌,,,,292
185367,水调歌头,,,宋辽金西夏元,宋,蜀道,赵师侠,,,,293
1242601,送范至能使金序,,,宋辽金西夏元,宋,蜀道,胡铨,,,,294
1242819,祭三十五叔文,,,宋辽金西夏元,宋,蜀道,胡铨,,,,295
66591,次制帅所和前韵,,,宋辽金西夏元,宋,蜀道,王之望,,,,296
1243274,潼川提刑谢到任表,,,宋辽金西夏元,宋,蜀道,王之望,,,,297
1243464,与荆南刘太尉启,,,宋辽金西夏元,宋,蜀道,王之望,,,,298
